#i, z in AB HSC system, YJHK in UKIDSS (vega), W1W2 in WISE (vega)
#M5,0.619684110059,0.993484370424,0.55,0.45,0.32,0.11,0.17
#M6,1.04439683725,1.12818942622,0.67,0.53,0.39,0.22,0.21
SpT,i-z,z-Y,Y-J,J-H,H-K,K-W1,W1-W2
q2.825,-0.10554293711,1.30678761017,0.326,0.395,0.479,0.981,0.954
q2.875,-0.0528306787898,1.20995040139,0.39,0.447,0.479,0.922,0.981
q2.925,-0.0460450773094,1.2888486009,0.378,0.473,0.546,0.944,0.884
q2.975,-0.039263128455,1.25574821644,0.413,0.458,0.487,0.906,0.867
q3.025,-0.0927698534085,1.28357719319,0.418,0.415,0.465,0.909,0.967
q3.075,-0.100432162678,1.25970283867,0.396,0.469,0.498,0.94,0.924
q3.125,-0.0749091095486,1.23129105906,0.448,0.417,0.559,0.873,0.928
q3.175,-0.068111637034,1.26518464126,0.507,0.433,0.53,0.909,0.836
q3.225,-0.0970261211686,1.26164677241,0.562,0.328,0.686,0.835,0.866
q3.275,-0.114918026494,1.30294512218,0.511,0.487,0.72,0.824,0.763
q3.300,-0.0978775459375,1.22266075539,0.513,0.451,0.702,0.903,0.687
q3.400,-0.0630159296838,1.10810576201,0.56,0.4,0.59,0.964,0.75
q3.500,-0.0604688464845,1.09706662229,0.574,0.428,0.61,0.894,0.72
q3.600,-0.0927698534085,1.04057719319,0.608,0.483,0.567,1.017,0.604
q3.700,-0.0223242365574,1.080503436,0.686,0.548,0.599,0.969,0.667
q3.800,-0.083411086697,0.921426086014,0.635,0.546,0.619,0.926,0.735
q3.900,-0.0859627927509,1.03246702904,0.533,0.668,0.633,1.251,0.62
q4.000,-0.0638650715615,1.06711885299,0.524,0.571,0.602,0.966,0.617
q4.100,-0.106394932602,1.08880181723,0.428,0.581,0.543,1.048,0.752
q4.200,-0.113212951137,1.22491628154,0.376,0.67,0.533,0.971,0.591
q4.300,-0.083411086697,1.10142608601,0.395,0.694,0.467,1.045,0.607
q4.400,0.285276870145,1.2325351929,0.419,0.626,0.554,1.029,0.445
q4.500,0.119061169937,1.16579145754,0.279,0.842,0.536,1.097,0.6
q4.600,-0.0189391976474,1.15345553726,0.304,0.722,0.428,0.963,0.55
q4.700,-0.112360499067,1.12390189491,0.253,0.636,0.536,1.079,0.854
q4.800,0.0998000025507,1.30398988466,0.46,0.747,0.252,0.96,0.55
q4.900,-0.156763684545,1.11467988445,0.397,0.859,0.427,0.742,0.55
